0 0 0 0 0 0 0 0 0 0 0 
10 8.99946 7.99896 6.99857 5.99832 4.99824 3.99832 2.99857 1.99896 0.999455 0 
20 17.999 15.998 13.9973 11.9968 9.99665 7.99681 5.99729 3.99803 1.99896 0 
30 26.9986 23.9973 20.9963 17.9956 14.9954 11.9956 8.99626 5.99729 2.99857 0 
40 35.9983 31.9968 27.9956 23.9948 19.9946 15.9948 11.9956 7.99681 3.99832 0 
50 44.9982 39.9966 34.9954 29.9946 24.9943 19.9946 14.9954 9.99665 4.99824 0 
60 53.9983 47.9968 41.9956 35.9948 29.9946 23.9948 17.9956 11.9968 5.99832 0 
70 62.9986 55.9973 48.9963 41.9956 34.9954 27.9956 20.9963 13.9973 6.99857 0 
80 71.999 63.998 55.9973 47.9968 39.9966 31.9968 23.9973 15.998 7.99896 0 
90 80.9995 71.999 62.9986 53.9983 44.9982 35.9983 26.9986 17.999 8.99946 0 
100 90 80 70 60 50 40 30 20 10 0 
