0 0 0 0 0 0 0 0 0 0 0 
10 8.99999 7.99998 6.99997 5.99996 4.99996 3.99996 2.99997 1.99998 0.999987 0 
20 18 16 13.9999 11.9999 9.99992 7.99993 5.99994 3.99995 1.99998 0 
30 27 23.9999 20.9999 17.9999 14.9999 11.9999 8.99991 5.99994 2.99997 0 
40 36 31.9999 27.9999 23.9999 19.9999 15.9999 11.9999 7.99993 3.99996 0 
50 45 39.9999 34.9999 29.9999 24.9999 19.9999 14.9999 9.99992 4.99996 0 
60 54 47.9999 41.9999 35.9999 29.9999 23.9999 17.9999 11.9999 5.99996 0 
70 63 55.9999 48.9999 41.9999 34.9999 27.9999 20.9999 13.9999 6.99997 0 
80 72 64 55.9999 47.9999 39.9999 31.9999 23.9999 16 7.99998 0 
90 81 72 63 54 45 36 27 18 8.99999 0 
100 90 80 70 60 50 40 30 20 10 0 
