0 0 0 0 0 0 0 0 0 0 0 
10 7.99416 6.12346 4.48813 3.15638 2.1294 1.38454 0.858589 0.492687 0.223159 0 
20 16.0515 12.3567 9.13264 6.47896 4.43478 2.92165 1.84634 1.07314 0.492687 0 
30 24.2335 18.8391 14.0884 10.1749 7.09612 4.7973 3.09974 1.84634 0.858589 0 
40 32.6296 25.6946 19.5761 14.4377 10.3592 7.19589 4.7973 2.92165 1.38454 0 
50 41.304 33.1064 25.7609 19.5384 14.4236 10.3592 7.09612 4.43478 2.1294 0 
60 50.3491 41.1653 32.869 25.6259 19.5384 14.4377 10.1749 6.47896 3.15638 0 
70 59.7764 49.9883 40.9369 32.869 25.7609 19.5761 14.0884 9.13264 4.48813 0 
80 69.5976 59.5001 49.9883 41.1653 33.1064 25.6946 18.8391 12.3567 6.12346 0 
90 79.7116 69.5976 59.7764 50.3491 41.304 32.6296 24.2335 16.0515 7.99416 0 
100 90 80 70 60 50 40 30 20 10 0 
