0 0 0 0 0 0 0 0 0 0 0 
10 8.71164 7.45229 6.25022 5.12216 4.0835 3.13248 2.26684 1.469 0.721914 0 
20 17.4493 14.9567 12.5682 10.3277 8.24985 6.34728 4.6 2.98833 1.469 0 
30 26.2398 22.5561 19.0233 15.6857 12.5838 9.71281 7.06707 4.6 2.26684 0 
40 35.1004 30.2957 25.661 21.2682 17.1409 13.3001 9.71281 6.34728 3.13248 0 
50 44.0498 38.1951 32.5293 27.107 21.9797 17.1409 12.5838 8.24985 4.0835 0 
60 53.0898 46.2757 39.6334 33.2361 27.107 21.2682 15.6857 10.3277 5.12216 0 
70 62.2228 54.5235 46.9789 39.6334 32.5293 25.661 19.0233 12.5682 6.25022 0 
80 71.4322 62.9243 54.5235 46.2757 38.1951 30.2957 22.5561 14.9567 7.45229 0 
90 80.7011 71.4322 62.2228 53.0898 44.0498 35.1004 26.2398 17.4493 8.71164 0 
100 90 80 70 60 50 40 30 20 10 0 
