0 0 0 0 0 0 0 0 0 0 0 
10 8.99809 7.99637 6.995 5.99412 4.99382 3.99412 2.995 1.99637 0.998092 0 
20 17.9964 15.9931 13.9905 11.9888 9.98824 7.98883 5.99049 3.9931 1.99637 0 
30 26.995 23.9905 20.9869 17.9846 14.9838 11.9846 8.98692 5.99049 2.995 0 
40 35.9941 31.9888 27.9846 23.9819 19.981 15.9819 11.9846 7.98883 3.99412 0 
50 44.9938 39.9882 34.9838 29.981 24.98 19.981 14.9838 9.98824 4.99382 0 
60 53.9941 47.9888 41.9846 35.9819 29.981 23.9819 17.9846 11.9888 5.99412 0 
70 62.995 55.9905 48.9869 41.9846 34.9838 27.9846 20.9869 13.9905 6.995 0 
80 71.9964 63.9931 55.9905 47.9888 39.9882 31.9888 23.9905 15.9931 7.99637 0 
90 80.9981 71.9964 62.995 53.9941 44.9938 35.9941 26.995 17.9964 8.99809 0 
100 90 80 70 60 50 40 30 20 10 0 
